Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
2015,Los Angeles Lakers,82,21,61,0.256,48.6,98.5,37.2,85.6,43.5,6.5,18.9,34.4,17.5,23.6,74.1,11.6,32.3,43.9,20.9,13.2,7,4.5,4.8,21.2,19.4,-6.8,"$77,546,500",0
2014,Los Angeles Lakers,82,27,55,0.329,48.1,103,38.3,85.1,45,9.4,24.8,38.1,17,22.4,75.7,9.1,32,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3,-6.3,"$77,423,614",0
2013,Los Angeles Lakers,82,45,37,0.549,48.2,102.2,37.1,81,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,15,7,5.2,4.8,17.9,23.1,1.2,"$100,131,988",0
2012,Los Angeles Lakers,66,41,25,0.621,48.7,97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,15.1,5.9,5.3,4.6,16.8,20.2,1.4,"$88,264,478",0
2011,Los Angeles Lakers,82,57,25,0.695,48.4,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44,22,13.1,7.3,5.1,4.5,19,20.7,6.1,"$91,428,140",0
2010,Los Angeles Lakers,82,57,25,0.695,48.4,101.7,38.3,83.8,45.7,6.5,19,34.1,18.5,24.2,76.5,11.9,32.5,44.3,21.1,13.4,7.5,4.9,4.4,19.4,21.2,4.7,"$91,378,064",1
2009,Los Angeles Lakers,82,65,17,0.793,48.2,106.9,40.3,85.1,47.4,6.7,18.5,36.1,19.6,25.5,77,12.4,31.5,43.9,23.3,13.5,8.8,5.1,4.8,20.7,22.1,7.7,"$78,245,793",1
2008,Los Angeles Lakers,82,57,25,0.695,48.2,108.6,39.6,83.1,47.6,8.1,21.4,37.8,21.3,27.7,76.9,11,33.2,44.1,24.4,14.1,8,5.3,4.5,20.6,22.6,7.3,"$72,626,796",0
2007,Los Angeles Lakers,82,42,40,0.512,48.9,103.3,37.8,81.3,46.6,7.4,21,35.3,20.2,27.1,74.7,10.8,30.4,41.2,22.6,15.5,7.3,5.1,5,23,23.4,-0.1,"$77,099,949",0
2006,Los Angeles Lakers,82,45,37,0.549,48.4,99.4,36.5,80.6,45.3,6.7,19.3,34.9,19.7,26.5,74.5,11.8,30.3,42.2,21.1,13.9,7.7,4.3,4.3,23.1,23.5,2.5,"$72,917,945",0
2005,Los Angeles Lakers,82,34,48,0.415,48.2,98.7,35.3,80.8,43.7,7.9,22.1,35.5,20.3,26.1,77.7,12.5,30.6,43.2,20.4,14.3,6.2,4.2,5.1,21.9,0,-3,"$65,059,098",0
2004,Los Angeles Lakers,82,56,26,0.683,48.4,98.2,36.9,81.4,45.4,4.5,13.6,32.7,19.9,28.7,69.3,12.2,30.9,43.1,23.8,13.8,8.3,4.6,3.8,21.1,0.1,3.9,"$64,123,085",0
2003,Los Angeles Lakers,82,50,32,0.61,48.6,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19,26,73.4,13.1,31.1,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1,2.3,"$63,151,182",0
2002,Los Angeles Lakers,82,58,24,0.707,48.2,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23,12.7,7.6,5.8,4.3,22.2,0.1,7.1,"$54,262,017",1
2001,Los Angeles Lakers,82,56,26,0.683,48.5,100.6,37.9,81.5,46.5,5.4,15.5,34.4,19.4,28.5,68.3,13.2,31.5,44.7,23,14.4,6.9,6,4,22.8,0.1,3.4,"$58,968,213",1
2000,Los Angeles Lakers,82,67,15,0.817,48.3,100.8,38.3,83.4,45.9,4.2,12.8,32.9,20.1,28.9,69.6,13.6,33.4,47,23.4,13.9,7.5,6.5,4.2,22.5,2.5,8.5,"$55,018,533",1
1999,Los Angeles Lakers,50,31,19,0.62,48.2,99,36.8,78.7,46.8,4.8,13.7,35.2,20.5,30.1,68.3,12.3,29.6,42,21.9,15.1,7.8,5.7,3.9,24.6,0.1,3,"$41,872,000",0
1998,Los Angeles Lakers,82,61,21,0.744,48.4,105.5,38.4,79.7,48.1,6.1,17.3,35.1,22.7,33.5,67.9,13.2,30.1,43.3,24.5,15.3,9,6.8,5.2,22.7,0.1,7.7,"$36,304,583",0
1997,Los Angeles Lakers,82,56,26,0.683,48.6,100,36.8,81,45.4,6.7,18.3,36.7,19.7,28.4,69.2,13.3,29.4,42.8,22.5,14.9,9,7,4.7,22.2,0.1,4.3,"$28,838,500",0
2022,Memphis Grizzlies,10,6,4,0.6,49,109.9,41.4,93.7,44.2,13.3,37.9,35.1,13.8,17.3,79.8,12.4,34,46.4,25.2,14.4,10.2,5.7,6.2,18.1,17.2,-3.9,"$115,017,735",
2021,Memphis Grizzlies,72,38,34,0.528,48.3,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,13.3,9.1,5.1,5.2,18.7,18.3,1,"$132,022,601",0
2020,Memphis Grizzlies,73,34,39,0.466,48.1,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,15.2,7.9,5.5,5.3,21.2,20.2,-1.1,"$98,495,848",0
2019,Memphis Grizzlies,82,33,49,0.402,48.5,103.5,38,84.4,45,9.9,28.9,34.2,17.7,23,77.2,8.8,33,41.8,23.9,14,8.3,5.5,4.9,22,21.4,-2.6,"$125,188,633",0
2018,Memphis Grizzlies,82,33,49,0.402,48.5,103.5,38,84.4,45,9.9,28.9,34.2,17.7,23,77.2,8.8,33,41.8,23.9,14,8.3,5.5,4.9,22,21.4,-2.6,"$110,700,149",0
2017,Memphis Grizzlies,82,43,39,0.524,48.5,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,12.9,8,4.2,5,22.4,20.8,0.5,"$110,083,520",0
2016,Memphis Grizzlies,82,42,40,0.512,48.4,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2,"$83,223,881",0
2015,Memphis Grizzlies,82,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,"$75,158,730",0
2014,Memphis Grizzlies,82,50,32,0.61,48.3,96.1,38.1,82,46.4,4.9,14,35.3,15.1,20.3,74.1,11.6,30.8,42.4,21.9,13.7,7.7,4.6,5,19.1,18.9,1.6,"$71,992,885",0
2013,Memphis Grizzlies,82,56,26,0.683,48.3,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,14,8.6,5.3,5.5,20.2,20,4.1,"$63,054,115",0
2012,Memphis Grizzlies,66,41,25,0.621,48.3,95,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42,19.5,14.5,9.6,5.2,5.5,19.9,19.3,2,"$70,628,007",0
2011,Memphis Grizzlies,82,46,36,0.561,48.5,99.9,39,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75,11.8,29.2,41,20.6,14,9.4,5.4,6.2,20.8,21.4,2.3,"$70,241,344",0
2010,Memphis Grizzlies,82,40,42,0.488,48.5,102.5,39.3,83.8,46.9,4.2,12.4,33.7,19.7,26.9,73.3,13,30.4,43.5,18.8,15.2,7.9,4.9,6.1,20.2,22.4,-1.5,"$57,287,474",0
2009,Memphis Grizzlies,82,24,58,0.293,48.3,93.9,34.9,77,45.4,4.9,13.5,36,19.1,25.3,75.6,10.3,28.5,38.8,17.4,15.3,7.5,4.7,5.4,21.7,21.8,-5.5,"$55,958,148",0
2008,Memphis Grizzlies,82,22,60,0.268,48.3,100.7,37.3,82.2,45.4,7.6,21.7,34.9,18.5,25.6,72.3,10.3,31.3,41.6,19.2,15.3,6.1,4.7,4.9,19.4,22.5,-6.2,"$54,118,526",0
2007,Memphis Grizzlies,82,22,60,0.268,48.7,101.6,36.6,78.6,46.5,6.1,16.6,36.7,22.4,29.4,76.1,10.6,29,39.5,20.5,16.4,6.9,5,5.5,22.3,24.3,-5.1,"$61,960,489",0
2006,Memphis Grizzlies,82,49,33,0.598,48.4,92.2,33.5,74.7,44.8,7.2,19.2,37.4,18,25.3,71.1,10.2,29,39.2,19.3,13.8,7.3,5.4,5.6,21.4,22.8,3.7,"$67,525,538",0
2005,Memphis Grizzlies,82,45,37,0.549,48.1,93.4,34.2,76.5,44.7,6.5,18.1,35.7,18.6,24.7,75.4,10.8,28.1,39,20.9,14.6,8.5,5.8,5.8,23.3,0,2.3,"$67,010,830",0
2004,Memphis Grizzlies,82,50,32,0.61,48.5,96.7,36.1,81.2,44.5,5.5,16,34,19,26.1,72.7,12.8,29,41.8,23.4,15,9.7,6.9,5.6,23.2,0,2.4,"$57,378,323",0
2003,Memphis Grizzlies,82,28,54,0.341,48.6,97.5,37.2,82.2,45.2,5.7,15.6,36.5,17.4,23.6,73.9,11.5,30.1,41.6,23.1,15.4,7.9,6.1,5.2,20.5,0,-3.2,"$61,009,172",0
2002,Memphis Grizzlies,82,23,59,0.28,48.2,89.9,34.8,79.7,43.6,4.1,13.4,30.7,16.3,23,70.8,12,29.4,41.4,21.8,16.4,7.9,6,5.6,19.2,0.1,-7.4,"$50,920,631",0
2001,Memphis Grizzlies,82,23,59,0.28,48.2,91.7,35,79.7,43.9,4,11.5,34.3,17.8,23.1,77,10.9,29.6,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.1,-5.7,"$48,899,840",0
2000,Memphis Grizzlies,82,22,60,0.268,48.4,93.9,35.3,78.5,44.9,4,11,36.1,19.4,25.1,77.4,12.3,28.3,40.6,20.7,16.8,7.4,4.2,6.3,22.9,2.4,-5.6,"$37,432,688",0
1999,Memphis Grizzlies,50,8,42,0.16,48.7,88.9,32.9,76.8,42.8,3,9.1,32.7,20.2,28.2,71.7,13,27.2,40.2,19.3,17,8.4,4,6.6,22.5,0.2,-8.7,"$33,635,800",0
1998,Memphis Grizzlies,82,19,63,0.232,48.4,96.6,36.7,80.1,45.8,4,11,36.2,19.3,26.2,73.9,13.2,28.2,41.4,23.9,17.1,7.5,4.3,6.6,22.1,0.2,-7.3,"$25,637,110",0
1997,Memphis Grizzlies,82,14,68,0.171,48.2,89.2,34.4,78.7,43.7,5.4,15.5,34.9,15,21.1,70.9,12.5,26.3,38.8,22.7,15.9,8,5.7,5.6,21.4,0.1,-10.2,"$15,978,000",0
2022,Miami Heat,10,7,3,0.7,48.5,110.1,40.3,86.9,46.4,11.4,31.9,35.7,18.1,21.9,82.6,10.9,38.1,49,24.4,14.7,6.6,2.2,4.6,20.8,20.3,8.6,"$140,570,655",
2021,Miami Heat,72,40,32,0.556,48.3,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79,8,33.5,41.5,26.3,14.1,7.9,4,4,18.9,19.6,0,"$134,731,235",0
2020,Miami Heat,73,44,29,0.603,48.6,112,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5,35.9,44.4,25.9,14.9,7.5,4.5,4.1,20.6,21.7,2.9,"$129,867,871",0
2019,Miami Heat,82,39,43,0.476,48.1,105.7,39.6,88,45,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,-0.2,"$153,171,497",0
2018,Miami Heat,82,39,43,0.476,48.1,105.7,39.6,88,45,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,14.7,7.6,5.5,4.7,20.9,20.1,-0.2,"$133,624,374",0
2017,Miami Heat,82,41,41,0.5,48.2,103.2,39,85.8,45.5,9.9,27,36.5,15.2,21.6,70.6,10.6,33,43.6,21.2,13.4,7.2,5.7,4.9,20.5,18.7,1.1,"$100,740,770",0
2016,Miami Heat,82,48,34,0.585,48.4,100,38.4,81.7,47,6.1,18,33.6,17.1,23,74.4,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6,"$85,764,781",0
2015,Miami Heat,82,37,45,0.451,48.1,94.7,35.2,77.2,45.6,6.8,20.2,33.5,17.5,23.7,74.1,9.1,30,39.1,19.8,14.8,7.8,4.5,4.4,20,20.9,-2.6,"$75,813,041",0
2014,Miami Heat,82,54,28,0.659,48.5,102.2,38.3,76.5,50.1,8.1,22.3,36.4,17.5,23,76,7.6,29.2,36.9,22.5,14.8,8.9,4.5,3.1,19.5,20.4,4.8,"$80,841,617",0
2013,Miami Heat,82,66,16,0.805,48.5,102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23,75.4,8.2,30.4,38.6,23,13.9,8.7,5.4,3.2,18.7,20.4,7.9,"$80,427,933",1
2012,Miami Heat,66,46,20,0.697,48.6,98.5,37.1,79,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20,15.2,8.9,5.4,4.2,19.4,20.5,6,"$75,469,639",1
2011,Miami Heat,82,58,24,0.707,48.2,102.1,37,76.8,48.1,6.7,18,37,21.5,27.9,76.9,9.6,32.5,42.1,20,13.9,6.6,5.2,3,20.4,21.8,7.5,"$66,205,855",0
2010,Miami Heat,82,47,35,0.573,48.5,96.5,36.4,79.5,45.8,6,17.4,34.6,17.7,23.5,75.2,10.7,31.1,41.8,18.9,13.2,7.4,5.6,4.3,20.9,20,2.3,"$74,208,013",0
2009,Miami Heat,82,43,39,0.524,48.7,98.3,37,81,45.7,7.1,19.9,35.7,17.2,22.8,75.4,10.1,29.4,39.5,20.4,12.5,7.9,5.5,4.1,20.7,19.9,0.3,"$70,297,059",0
2008,Miami Heat,82,15,67,0.183,48.4,91.4,34.2,77.3,44.3,6,16.7,35.8,16.9,23.2,72.7,9.1,28.6,37.6,20,14.7,7.2,4.3,4.2,20.4,20.1,-8.6,"$74,767,603",0
2007,Miami Heat,82,44,38,0.537,48.4,94.6,35.6,76.7,46.4,6.4,18.8,34.3,17,24.6,69,10,30.8,40.8,20.5,14.6,6.9,5.4,3.8,21.3,21.8,-0.9,"$64,416,312",0
2006,Miami Heat,82,52,30,0.634,48.2,99.9,37.1,77.5,47.8,6.1,17.6,34.5,19.7,28.2,70,10.5,32.6,43.1,20.6,14.5,6.4,5.4,3.6,22.8,23.6,3.9,"$60,732,452",1
2005,Miami Heat,82,59,23,0.72,48.7,101.5,37.8,77.7,48.6,5.8,15.4,37.7,20.2,30.1,67.2,10.8,32.2,43,21.8,13.7,6.4,5.8,3.2,22.1,0,6.5,"$59,523,529",0
2004,Miami Heat,82,42,40,0.512,48.2,90.3,33.3,78.3,42.5,5.9,16.5,35.7,17.8,23.4,76.2,11.5,30,41.5,19.1,13.9,7.2,3.8,5.4,22.1,0,0.5,"$47,349,374",0
2003,Miami Heat,82,25,57,0.305,48.4,85.6,32.8,79.5,41.2,4.2,13.4,31.6,15.8,20.6,76.5,11.6,30,41.6,18.3,14.2,7.2,4,5.3,22.6,0.1,-5,"$57,378,326",0
2002,Miami Heat,82,36,46,0.439,48.6,87.2,34.2,77.8,43.9,3.8,11,34.7,15.1,20.8,72.4,11,31,42,20.3,14.8,6.7,5.5,4.3,22.5,0.2,-1.5,"$53,351,186",0
2001,Miami Heat,82,50,32,0.61,48.5,88.9,32.9,76.3,43,5.8,16.9,34.5,17.4,22.9,75.9,9.9,29.7,39.6,19.9,13.7,7.7,3.7,5.2,21,0.1,2.3,"$73,472,329",0
2000,Miami Heat,82,52,30,0.634,48.4,94.4,36.3,78.8,46,5.4,14.7,37.1,16.4,22.3,73.6,11.2,31.9,43.2,23.5,15,7.1,6.4,4.4,23.7,2.1,3.1,"$52,496,573",0
1999,Miami Heat,50,33,17,0.66,48.1,89,32.3,71.3,45.3,5.8,16.1,35.9,18.6,25.2,73.5,10.1,30.2,40.3,20.4,14.9,6.5,6.1,3.8,20.7,0.1,5,"$44,594,000",0
1998,Miami Heat,82,55,27,0.671,48.2,95,34.8,77.2,45,6.7,18.8,35.5,18.8,25.4,73.9,12.5,29.5,42,21.4,15,8.1,5.2,4.5,24.2,0.2,4.9,"$34,641,186",0
1997,Miami Heat,82,61,21,0.744,48.3,94.8,34.4,76,45.3,8.3,22.7,36.4,17.7,24.7,71.9,11.7,29.3,41,21.2,15.9,7.9,5.4,4.8,23.4,0.3,5.5,"$22,421,000",0
2022,Milwaukee Bucks,11,5,6,0.455,48,107.7,39.5,90.2,43.9,13.5,40,33.9,15.1,20.4,74.1,10.1,36,46.1,21.1,14,7.9,4.5,5.2,18.2,18.5,-0.9,"$157,151,425",
2021,Milwaukee Bucks,72,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,"$136,623,929",1
2020,Milwaukee Bucks,73,56,17,0.767,48.2,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,10.1,"$122,612,183",0
2019,Milwaukee Bucks,82,60,22,0.732,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2,8.9,"$130,988,604",0
2018,Milwaukee Bucks,82,44,38,0.537,48.4,106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9,-0.3,"$120,521,249",0
2017,Milwaukee Bucks,82,42,40,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3,-0.2,"$96,245,877",0
2016,Milwaukee Bucks,82,33,49,0.402,48.4,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.7,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,"$73,843,541",0
2015,Milwaukee Bucks,82,41,41,0.5,48.6,97.8,37.6,82,45.9,6.6,18.3,36.3,16,21.1,75.7,10.7,31.4,42.1,23.6,16.7,9.6,4.9,4.8,22.1,20.1,0.4,"$54,473,275",0
2014,Milwaukee Bucks,82,15,67,0.183,48.5,95.5,36,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6,-8.2,"$54,400,846",0
2013,Milwaukee Bucks,82,38,44,0.463,48.4,98.9,38.1,87.8,43.5,7.3,20.4,36,15.3,20.7,73.6,13,30.9,44,22.9,14.1,8.4,6.7,4.4,19,19.1,-1.5,"$62,410,041",0
2012,Milwaukee Bucks,66,31,35,0.47,48.1,99,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30,42.5,23.5,14.1,8.3,5.1,4.5,19.3,19.4,0.3,"$60,192,388",0
2011,Milwaukee Bucks,82,35,47,0.427,48.4,91.9,34.3,79.8,43,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,-0.8,"$69,076,690",0
2010,Milwaukee Bucks,82,46,36,0.561,48.7,97.7,37.2,85.3,43.6,7.9,22.1,35.6,15.4,20.4,75.5,11.8,31.2,43,21.2,13.2,7.1,4.7,5.1,22.2,20.3,1.7,"$66,775,602",0
2009,Milwaukee Bucks,82,34,48,0.415,48.2,99.3,36.7,82.4,44.5,6.2,17.2,36.3,19.7,25.2,78,11.9,28.9,40.7,22,14.1,7.4,3.8,4.6,24.2,22.5,-1.1,"$71,360,656",0
2008,Milwaukee Bucks,82,26,56,0.317,48.4,97,36.9,82.3,44.9,5.5,16,34.4,17.7,24.1,73.3,12.9,28.8,41.7,21.5,14.8,6.6,4.4,4.9,21.3,21.1,-6.9,"$62,571,522",0
2007,Milwaukee Bucks,82,28,54,0.341,48.4,99.7,38.1,81.9,46.5,6.4,18,35.6,17.1,23.4,73.3,11.5,27.7,39.2,21.6,15.1,7.2,2.7,5.3,22.2,21,-4.4,"$63,498,518",0
2006,Milwaukee Bucks,82,40,42,0.488,48.4,97.8,36.3,80.1,45.3,6.2,16.3,38,19,25.8,73.8,11.3,29.9,41.2,21.6,14.6,7.3,3.3,5,23.2,23.6,-1,"$63,022,514",0
2005,Milwaukee Bucks,82,30,52,0.366,48.2,97.2,36.1,80.2,45,4,11.3,35.1,21,27.2,77.2,12,29.3,41.3,21,13.8,6.5,3.5,4.5,21.9,0.1,-3,"$57,448,246",0
2004,Milwaukee Bucks,82,41,41,0.5,48.2,98,36.2,81.1,44.7,4.9,14,35,20.7,26.7,77.5,11.7,30.5,42.2,22.8,13.5,6.8,4.7,5,20.3,0,1.1,"$53,229,826",0
2003,Milwaukee Bucks,82,42,40,0.512,48.5,99.5,37.1,81.3,45.7,7.1,18.6,38.3,18.1,23.3,77.6,10.7,28.9,39.5,22.2,12.7,7.6,4.2,4.1,22.2,0.1,0.2,"$57,995,152",0
2002,Milwaukee Bucks,82,41,41,0.5,48.5,97.5,37.1,80.2,46.2,7.2,19.3,37.5,16.1,21.5,74.8,10.3,31.2,41.4,22.5,14.1,7.3,4.7,4.4,21.8,0.1,-0.2,"$56,224,266",0
2001,Milwaukee Bucks,82,52,30,0.634,48.2,100.7,38,82.9,45.8,6.9,18.1,37.9,18,22.9,78.7,11.9,30.5,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1,3.9,"$57,819,318",0
2000,Milwaukee Bucks,82,42,40,0.512,48.4,101.2,38.7,83.3,46.5,4.8,13,36.9,19,24.2,78.6,12.4,28.9,41.3,22.6,15,8.2,4.6,4.1,24.6,2.2,0.2,"$44,680,197",0
1999,Milwaukee Bucks,50,28,22,0.56,48.2,91.7,35.1,76.4,45.9,4.6,12.4,37.3,16.9,23.1,73.3,11.4,27.4,38.8,20.6,14.4,8.8,4,3.9,22.8,0.2,1.7,"$33,703,240",0
1998,Milwaukee Bucks,82,36,46,0.439,48.6,94.5,35.6,78,45.6,3,8.6,35.4,20.3,26.4,76.7,12.6,27.3,39.9,20.1,16.9,8.9,4.4,4.9,23.4,0.2,-1.9,"$25,919,828",0
1997,Milwaukee Bucks,82,33,49,0.402,48.1,95.3,36.2,76.9,47.1,4,11.2,35.2,19,25.7,74.1,11.6,27.6,39.2,19.6,15.7,7.7,4.2,4.8,23.1,0.1,-1.9,"$24,222,500",0
2022,Minnesota Timberwolves,9,3,6,0.333,48.6,104,37.9,92.2,41.1,14.6,44.4,32.8,13.7,17.7,77.4,12.8,31.9,44.7,22.9,17.2,9.8,6.1,5.8,22.8,19,-4.1,"$136,707,719",
2021,Minnesota Timberwolves,72,23,49,0.319,48.3,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33,43.5,25.6,14.3,8.8,5.5,5.5,20.9,19.9,-5.6,"$130,334,934",0
2020,Minnesota Timberwolves,64,19,45,0.297,48.6,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,-4.3,"$114,202,982",0
2019,Minnesota Timberwolves,82,36,46,0.439,48.4,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,13.1,8.3,5,5.5,20.3,21.9,-1.5,"$121,962,221",0
2018,Minnesota Timberwolves,82,36,46,0.439,48.4,112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,13.1,8.3,5,5.5,20.3,21.9,-1.5,"$116,075,131",0
2017,Minnesota Timberwolves,82,31,51,0.378,48.3,105.6,39.5,84.4,46.7,7.3,21,34.9,19.3,24.2,79.9,11.4,31,42.4,23.7,14,8,4.5,5,20.1,20.5,-1.1,"$83,527,580",0
2016,Minnesota Timberwolves,82,29,53,0.354,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,"$72,287,243",0
2015,Minnesota Timberwolves,82,16,66,0.195,48.3,97.8,36.4,83.2,43.8,5,14.9,33.2,20,25.7,77.6,11.6,29.3,40.9,21.6,15,8.1,4,5.5,19.2,21.4,-8.8,"$69,378,954",0
2014,Minnesota Timberwolves,82,40,42,0.488,48.4,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,2.7,"$68,564,040",0
2013,Minnesota Timberwolves,82,31,51,0.378,48.1,95.7,35.9,81.7,43.9,5.5,18,30.5,18.5,24.9,74.2,11.9,30.2,42,22.4,14.8,8.5,4.7,5.9,18.4,22.5,-2.4,"$64,329,748",0
2012,Minnesota Timberwolves,66,26,40,0.394,48.3,97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,15.2,6.6,4.4,5.7,18.4,21.7,-2.2,"$56,844,339",0
2011,Minnesota Timberwolves,82,17,65,0.207,48.2,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,17,7.2,5.1,5.5,22.3,20.9,-6.6,"$53,461,123",0
2010,Minnesota Timberwolves,82,15,67,0.183,48.2,98.2,37.9,84.4,44.9,4.9,14.4,34.1,17.5,23.5,74.6,11.7,31.2,42.9,19.8,16.3,7.3,3.7,5.4,20.7,20.6,-9.6,"$62,253,360",0
2009,Minnesota Timberwolves,82,24,58,0.293,48.3,97.8,36.4,82.5,44.1,6.6,18.8,35.3,18.3,23.9,76.9,11.9,29.8,41.7,20.4,14.2,6.2,3.9,5.9,21.8,20,-4.9,"$66,445,144",0
2008,Minnesota Timberwolves,82,22,60,0.268,48.1,95.6,37.5,83.1,45.1,5.4,15.4,35,15.2,20.6,73.6,11.8,29.6,41.4,19.9,14.5,7.5,3.7,5.7,23,17.5,-6.8,"$69,043,895",0
2007,Minnesota Timberwolves,82,32,50,0.39,48.8,96.1,36.5,79.3,46.1,4.7,13.3,35.3,18.3,23.1,79.2,10,30.2,40.1,22.5,15.6,6.5,4,4.4,21.4,20.5,-3.7,"$66,820,673",0
2006,Minnesota Timberwolves,82,33,49,0.402,48.4,91.7,35.2,77.3,45.6,3.8,11.5,32.9,17.5,23.1,75.8,9.9,29.5,39.4,20.9,14.5,6.8,5.7,4.6,23,21.2,-1.9,"$61,830,186",0
2005,Minnesota Timberwolves,82,44,38,0.537,48.2,96.8,37.1,80.8,45.9,4.8,14,34.5,17.7,22.2,79.6,11.5,31.5,43,23.4,13.2,5.6,5.5,3.9,21.6,0,1.5,"$70,123,411",0
2004,Minnesota Timberwolves,82,58,24,0.707,48.2,94.5,37,80.1,46.2,4,10.9,36.3,16.6,21.3,78.1,10.7,32.3,42.9,23,12.7,6.8,5.6,3.6,21.1,0.1,5.5,"$71,272,042",0
2003,Minnesota Timberwolves,82,51,31,0.622,48.3,98.1,38.7,83,46.6,3.6,9.8,36.8,17.1,22.3,77,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0,2.1,"$59,518,801",0
2002,Minnesota Timberwolves,82,50,32,0.61,48.3,99.3,38.7,84,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5,21.2,0.1,3.4,"$55,093,782",0
