Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
1999,Boston Celtics,50,19,31,0.38,48.6,93,36.3,83.3,43.6,5.5,15.2,36,14.9,21.5,69.2,13.6,29.2,42.8,21.5,16.1,9.1,5.1,5.1,23.9,0.1,-1.9,"$32,258,856",0
1998,Boston Celtics,82,36,46,0.439,48.1,95.9,36.7,84.6,43.4,5.1,15.2,33.2,17.4,24,72.6,14.6,24.9,39.5,22.1,16.2,12,4.5,5,26.9,0.2,-2.6,"$26,800,500",0
1997,Boston Celtics,82,15,67,0.183,48.5,100.6,37.4,85,44,5.7,16.2,35.1,20.1,26.8,75,13.3,26.7,40,21.9,16.4,9.9,3.8,6.8,23.4,0.1,-7.3,"$25,853,500",0
2022,Brooklyn Nets,11,7,4,0.636,48,105.1,38.5,83.6,46.1,12.9,34.5,37.4,15.1,19.3,78.3,7,38.4,45.4,24,15.5,6.1,5.5,5.5,18.6,19,0.5,"$175,355,969",
2021,Brooklyn Nets,72,48,24,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19,18.9,4.5,"$170,444,633",0
2020,Brooklyn Nets,72,35,37,0.486,48.6,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,15.3,6.4,4.5,5.3,21,21.1,-0.6,"$118,889,943",0
2019,Brooklyn Nets,82,42,40,0.512,48.7,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19,25.5,74.5,11,35.6,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22,-0.1,"$118,850,600",0
2018,Brooklyn Nets,82,42,40,0.512,48.7,112.2,40.3,89.7,44.9,12.8,36.2,35.3,19,25.5,74.5,11,35.6,46.6,23.8,15.1,6.6,4.1,5.3,21.5,22,-0.1,"$95,475,397",0
2017,Brooklyn Nets,82,20,62,0.244,48.2,105.8,37.8,85.2,44.4,10.7,31.6,33.8,19.4,24.6,78.8,8.8,35.1,43.9,21.4,16.5,7.2,4.7,5.6,21,20.4,-6.7,"$82,391,482",0
2016,Brooklyn Nets,82,21,61,0.256,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,"$80,258,302",0
2015,Brooklyn Nets,82,38,44,0.463,48.6,98,37.4,83,45.1,6.6,19.9,33.1,16.6,22.2,74.8,10.3,32,42.4,20.9,13.8,7,4.1,4.5,19.3,20,-2.9,"$87,817,289",0
2014,Brooklyn Nets,82,44,38,0.537,48.5,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1,"$102,589,967",0
2013,Brooklyn Nets,82,49,33,0.598,48.4,96.9,35.9,79.8,45,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30,42.8,20.3,14.7,7.3,4.8,4.8,18.3,21.4,1.8,"$87,644,649",0
2012,Brooklyn Nets,66,22,44,0.333,48.2,93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,15.1,7.5,3.9,5,19.2,19.3,-6,"$65,281,235",0
2011,Brooklyn Nets,82,24,58,0.293,48.8,94.2,35.6,81,44,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21,14,5.6,4.7,4.6,22,20,-6.2,"$58,495,989",0
2010,Brooklyn Nets,82,12,70,0.146,48.2,92.4,34.3,79.9,42.9,4.6,14.5,31.8,19.2,24.6,78,10.9,28.8,39.7,18.8,14.4,7,4.8,5.1,20,20.1,-9.1,"$59,366,715",0
2009,Brooklyn Nets,82,34,48,0.415,48.4,98.1,35.7,79.7,44.8,8,21.2,37.6,18.8,24.1,77.9,10.4,29.5,39.8,20,13.1,6.8,4.8,4.8,22.4,20.5,-2.4,"$62,666,523",0
2008,Brooklyn Nets,82,34,48,0.415,48.4,95.8,34.8,78.7,44.3,6.1,17.4,34.8,20.1,27.3,73.6,11.1,30.7,41.9,23.5,15,6.4,4.8,4.4,22.6,22.4,-5.1,"$61,836,211",0
2007,Brooklyn Nets,82,41,41,0.5,48.5,97.6,35.5,77.8,45.7,7.4,20.4,36.3,19.1,26.3,72.7,10,30.8,40.8,23.9,14.8,6.1,3.3,4.5,22.8,23,-0.8,"$64,486,110",0
2006,Brooklyn Nets,82,49,33,0.598,48.2,93.8,33.9,77,44,5.8,17.6,33,20.2,26.7,75.8,10,31,41,23,13.6,6.8,3.4,4,23.2,23,1.4,"$66,449,350",0
2005,Brooklyn Nets,82,42,40,0.512,48.5,91.4,33.6,78.3,42.9,5.3,14.7,36.2,19,24.9,76.3,10.4,29.1,39.5,21.6,14.2,7.9,3.8,4.9,24.2,0,-1.5,"$54,983,980",0
2004,Brooklyn Nets,82,47,35,0.573,48.1,90.3,34.3,77.7,44.1,4.6,13.7,33.6,17,22.6,75.3,10.5,30.2,40.7,24.5,14.7,8.6,3.9,4.6,21,0.1,2.5,"$63,697,123",0
2003,Brooklyn Nets,82,49,33,0.598,48.2,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23,14.8,8.7,4.6,5.2,21.6,0.1,5.2,"$60,412,919",0
